PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
OrderLine[0].ReleaseGroupId,OriginalPayload.ReleaseLine[0].OrderLine.ReleaseGroupId,String (50),Direct mapping from OrderLine[0].ReleaseGroupId,Yes,3-CZDEEY5AAA2BNT
OrderLine[0].ItemId,OriginalPayload.ReleaseLine[0].OrderLine.ItemShortDescription,String (200),Lookup from product catalog using ItemId,Yes,Yindee Drinking Water 600ml.
,OriginalPayload.ReleaseLine[0].OrderLineVASInstructions,Array,Default: empty array [],No,[]
,OriginalPayload.ReleaseLine[0].IsPriceOverrIdden,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventorySegmentId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.AllocationId,String (50),Generate unique ID using timestamp + random,Yes,179291316818885974056
,OriginalPayload.ReleaseLine[0].AllocationInfo.PredictedShipDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.SubstitutionTypeId,String (50),Default: null,No,null
CapturedDate + 25 minutes,OriginalPayload.ReleaseLine[0].AllocationInfo.EarliestDeliveryDate,DateTime,Add 25 minutes to CapturedDate,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.CountryOfOrigin,String (2),Default: null,No,null
CapturedDate + 25 minutes,OriginalPayload.ReleaseLine[0].AllocationInfo.EarliestShipDate,DateTime,Add 25 minutes to CapturedDate,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.SubstitutionRatio,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.SupplyDetailInfo,Array,Default: empty array [],No,[]
,OriginalPayload.ReleaseLine[0].AllocationInfo.SupplyTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.ASNDetailId,String (50),Default: null,No,null
CapturedDate + 25 minutes,OriginalPayload.ReleaseLine[0].AllocationInfo.HeuristicDeliveryDate,DateTime,Add 25 minutes to CapturedDate,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.ExtendedFields,Object,Default: empty object {},No,{}
,OriginalPayload.ReleaseLine[0].AllocationInfo.PredictedDeliveryDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.CommittedDeliveryDate,DateTime,Default: null,No,null
CapturedDate + 25 minutes,OriginalPayload.ReleaseLine[0].AllocationInfo.HeuristicShipDate,DateTime,Add 25 minutes to CapturedDate,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.LatestReleaseDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ProductClass,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].MinFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseLine[0].ItemSize,String (50),Default: empty string '',No,""
,OriginalPayload.ReleaseLine[0].AsnId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].PaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ShipToLocationId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].EffectiveRank,String (50),Default: 'Not Applicable',No,Not Applicable
,OriginalPayload.ReleaseLine[0].ExtendedLineFields,Object,Default: empty object {},No,{}
,OriginalPayload.ReleaseLine[0].LineShortCount,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].Mode,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ReleaseLineExtendedFields,Object,Default: empty object {},No,{}
OrderLine[0].Quantity,OriginalPayload.ReleaseLine[0].Quantity,Number,Direct mapping from OrderLine[0].Quantity,Yes,12
,OriginalPayload.ReleaseLine[0].ShipViaId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsItemNotOnFile,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsGiftCard,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsPackAndHold,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].ProcessInfo,Object,Default: object with all null values,No,(all null values)
,OriginalPayload.ReleaseLine[0].CancelReasonId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ReleaseLineId,String (10),Generate sequential line ID starting from '1',Yes,1
,OriginalPayload.ReleaseLine[0].ParentItemId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsReturnableAtStore,Boolean,Default: true,No,true
,OriginalPayload.ReleaseLine[0].FulfillmentGroupId,String (50),Generate unique ID using timestamp + random,Yes,eefee1242da4a01b901aad5fb27ac4
OrderLine[0].UOM,OriginalPayload.ReleaseLine[0].UOM,String (10),Direct mapping from OrderLine[0].UOM,Yes,SBTL
OrderLine[0],OriginalPayload.ReleaseLine[0].OrderLineSubtotal,Number,OrderLine[0].Quantity * OrderLine[0].UnitPrice,Yes,39
OrderLine[0].UnitPrice,OriginalPayload.ReleaseLine[0].UnitPrice,Number,Direct mapping from OrderLine[0].UnitPrice,Yes,3.25
OrderLine[0].OrderLineId,OriginalPayload.ReleaseLine[0].OrderLineId,String (50),Direct mapping from OrderLine[0].OrderLineId,Yes,000-0-0
,OriginalPayload.ReleaseLine[0].TotalTaxes,Number,Default: 0,Yes,0
OrderLine[0].OrderLineTaxDetail[],OriginalPayload.ReleaseLine[0].OrderLineTotalTaxes,Number,SUM(OrderLine[0].OrderLineTaxDetail[].TaxAmount),Yes,0
,OriginalPayload.ReleaseLine[0].RequestedDeliveryDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].CarrierCode,String (50),Default: null,No,null
OrderLine[0].OriginalUnitPrice,OriginalPayload.ReleaseLine[0].OriginalUnitPrice,Number,Direct mapping from OrderLine[0].OriginalUnitPrice,Yes,3.25
OrderLine[0],OriginalPayload.ReleaseLine[0].TotalDiscounts,Number,(OrderLine[0].OriginalUnitPrice - OrderLine[0].UnitPrice) * OrderLine[0].Quantity,Yes,0
OrderLine[1],OriginalPayload.ReleaseLine[1],Object,Map OrderLine[1] to ReleaseLine[1] using same logic as ReleaseLine[0],Yes,(2nd line item)
OrderLine[2],OriginalPayload.ReleaseLine[2],Object,Map OrderLine[2] to ReleaseLine[2] using same logic as ReleaseLine[0],Yes,(3rd line item)
OrderLine[0].ShipToAddress.Address.Address2,OriginalPayload.Address2,String (200),Extract from first OrderLine[].ShipToAddress.Address.Address2,No,Grab Address2
,OriginalPayload.ShipViaId,String (50),Default: 'InStore_STD',Yes,InStore_STD
OrderLine[0].ShipToAddress.Address.Address3,OriginalPayload.Address3,String (200),Extract from first OrderLine[].ShipToAddress.Address.Address3,No,null
OrderLine[0].ShipToAddress.Address.Address1,OriginalPayload.Address1,String (200),Extract from first OrderLine[].ShipToAddress.Address.Address1,Yes,Grab Address1
,OriginalPayload.ProcessInfo,Object,Default: complex object structure with system values,No,(complex object)
,OriginalPayload.CancelReasonId,String (50),Default: null,No,null
,OriginalPayload.PostVoIdReasonId,String (50),Default: null,No,null
OrderLocale,OriginalPayload.OrderLocale,String (5),Direct mapping from OrderLocale,Yes,th
OrderChargeDetail[],OriginalPayload.OrderTotalCharges,Number,SUM(OrderChargeDetail[].ChargeTotal WHERE ChargeTypeId != 'Discount'),Yes,0
OrderTaxDetail[] + OrderLineTaxDetail[],OriginalPayload.TotalTaxes,Number,SUM(all tax amounts from header and lines),Yes,0
CustomerLastName,OriginalPayload.CustomerLastName,String (100),Direct mapping from CustomerLastName,Yes,-
CapturedDate,OriginalPayload.CapturedDate,DateTime,Direct mapping from CapturedDate,Yes,2025-08-05T12:13:12
,OriginalPayload.CarrierCode,String (50),Default: 'InStore',Yes,InStore
,OriginalPayload.AddressType,String (50),Default: 'CustomerShipToAddress',Yes,CustomerShipToAddress
OrderLine[] + OrderChargeDetail[] + OrderTaxDetail[],OriginalPayload.OrderTotal,Number,OrderSubtotal + TotalCharges + TotalTaxes,Yes,157
OrderLine[] + OrderChargeDetail[],OriginalPayload.TotalDiscounts,Number,SUM(all discount amounts) * -1,Yes,-0.08
,OriginalHeaders.SelectedLocation,String (50),Default: null,No,null
,OriginalHeaders.User,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalHeaders.Organization,String (10),Default: 'CFR',Yes,CFR
,OriginalHeaders.IsRetransmitMsg,String (5),Default: 'true',No,true
,OriginalHeaders.msg_submission_time,DateTime,Current system timestamp,Yes,2025-08-05T12:13:34.871
,OriginalHeaders.SelectedBusinessUnit,String (50),Default: null,No,null
,OriginalHeaders.Label,String (50),Default: null,No,null
,OriginalHeaders.fromInboundServiceId,String (50),Default: 'PayloadMsgProcessor',Yes,PayloadMsgProcessor
,OriginalHeaders.msg_submission_time_utc,DateTime,Current system timestamp in UTC,Yes,2025-08-05T12:13:34.871Z
,OriginalHeaders.BROKER_ADDRESS,String (200),Default: empty string '',No,""
,OriginalHeaders.BROKER_TYPE,String (50),Default: 'googlepubsub',Yes,googlepubsub
,OriginalHeaders.SPAN_ID,String (50),Generate unique span ID,Yes,339e9caaae8f5f9d
,OriginalHeaders.APP_ID_TRACE,String (200),Default: application trace ID,Yes,com-manh-cp-xint-queue-proc-q-xint-657d955bff-pz5xf
,OriginalHeaders.PERSIST_TO_MSG_STORE,String (5),Default: 'true',Yes,true
,OriginalHeaders.ComponentName,String (50),Default: 'xint',Yes,xint
,OriginalHeaders.SelectedOrganization,String (10),Default: 'CFR',Yes,CFR
,OriginalHeaders.AllBusinessUnitsAccessible,String (5),Default: 'false',No,false
,OriginalHeaders.TRANSACTIONAL,String (5),Default: 'false',No,false
,OriginalHeaders.UserLocale,String (5),Default: 'en',Yes,en
,OriginalHeaders.QueueName,String (100),Default: 'OB_XINT_PublishReleaseToStoreMSGType_GCPQ-CFR',Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPQ-CFR
,OriginalHeaders.direction,String (20),Default: 'Outbound',Yes,Outbound
,OriginalHeaders.fromInboundQueueName,String (100),Default: 'awpf-payload-queue-ord',Yes,awpf-payload-queue-ord
,OriginalHeaders.app-id,String (200),Default: application ID,Yes,com-manh-cp-xint-queue-proc-q-xint-657d955bff-pz5xf
,OriginalHeaders.TRACE_ID,String (50),Generate unique trace ID,Yes,1615f26c4d1db7a8
,OriginalHeaders.fromInboundMessageType,String (50),Default: 'awpf-payload',Yes,awpf-payload
,OriginalHeaders.TenantId,String (50),Default: 'crcpopr11o',Yes,crcpopr11o
,OriginalHeaders.MSG_TYPE,String (100),Default: 'OB_XINT_PublishReleaseToStoreMSGType_GCPMT',Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPMT
,OriginalHeaders.MSG_ID_PK,String (50),Generate unique message ID,Yes,3851787561187179410880997417394891
,OriginalHeaders.OUTBOUND_CONDITION_EVALUATION,Boolean,Default: true,Yes,true
,OriginalHeaders.ProvisioningProfile,String (50),Default: null,No,null
,OriginalHeaders.OUTBOUND_MSG_TYPE,String (100),Default: 'OB_XINT_PublishReleaseToStoreMSGType_GCPMT',Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPMT
,OriginalHeaders.MessageCategory,String (50),Default: null,No,null
,OriginalHeaders.Location,String (50),Default: null,No,null
