PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
,OriginalPayload.ReleaseLine[0].AllocationInfo.CommittedDeliveryDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryAttribute1,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.PODetailId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryAttribute2,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryAttribute3,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryAttribute4,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryAttribute5,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.POId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.CommittedShipDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.BatchNumber,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.LatestShipDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.ASNId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.GroupId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.ProductStatusId,String (50),Default: null,No,null
Calculated,OriginalPayload.ReleaseLine[0].AllocationInfo.HeuristicShipDate,DateTime,Calculated date,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.LatestReleaseDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ProductClass,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].MinFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseLine[0].ItemSize,String (50),Default: '',No,""
,OriginalPayload.ReleaseLine[0].AsnId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].PaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ShipToLocationId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].EffectiveRank,String (50),Default: 'Not Applicable',No,Not Applicable
,OriginalPayload.ReleaseLine[0].ExtendedLineFields,Object,Empty object,No,{}
,OriginalPayload.ReleaseLine[0].LineShortCount,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].Mode,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ReleaseLineExtendedFields,Object,Empty object,No,{}
OrderLine[0].Quantity,OriginalPayload.ReleaseLine[0].Quantity,Number,Direct mapping,Yes,12
,OriginalPayload.ReleaseLine[0].ShipViaId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsItemNotOnFile,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsGiftCard,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsPackAndHold,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].ProcessInfo,Object,Complex object with all nulls,No,(all null values)
,OriginalPayload.ReleaseLine[0].CancelReasonId,String (50),Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ReleaseLineId,String (10),Sequential ID,Yes,1
,OriginalPayload.ReleaseLine[0].ParentItemId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsReturnableAtStore,Boolean,Default: true,No,true
Generated,OriginalPayload.ReleaseLine[0].FulfillmentGroupId,String (50),Generated ID,Yes,eefee1242da4a01b901aad5fb27ac4
OrderLine[0].UOM,OriginalPayload.ReleaseLine[0].UOM,String (10),Direct mapping,Yes,SBTL
Calculated,OriginalPayload.ReleaseLine[0].OrderLineSubtotal,Number,Quantity * UnitPrice,Yes,39
OrderLine[0].UnitPrice,OriginalPayload.ReleaseLine[0].UnitPrice,Number,Direct mapping,Yes,3.25
OrderLine[0].OrderLineId,OriginalPayload.ReleaseLine[0].OrderLineId,String (50),Direct mapping,Yes,000-0-0
,OriginalPayload.ReleaseLine[0].TotalTaxes,Number,Default: 0,Yes,0
Calculated,OriginalPayload.ReleaseLine[0].OrderLineTotalTaxes,Number,Sum of line taxes,Yes,0
,OriginalPayload.ReleaseLine[0].RequestedDeliveryDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].CarrierCode,String (50),Default: null,No,null
OrderLine[0].OriginalUnitPrice,OriginalPayload.ReleaseLine[0].OriginalUnitPrice,Number,Direct mapping,Yes,3.25
Calculated,OriginalPayload.ReleaseLine[0].TotalDiscounts,Number,Sum of discounts,Yes,0
,OriginalPayload.ReleaseLine[1],Object,Same structure as ReleaseLine[0],Yes,(2nd line item)
,OriginalPayload.ReleaseLine[2],Object,Same structure as ReleaseLine[0],Yes,(3rd line item)
OrderLine[].ShipToAddress.Address.Address2,OriginalPayload.Address2,String (200),From first order line,No,Grab Address2
,OriginalPayload.ShipViaId,String (50),Default: 'InStore_STD',Yes,InStore_STD
OrderLine[].ShipToAddress.Address.Address3,OriginalPayload.Address3,String (200),From first order line,No,null
OrderLine[].ShipToAddress.Address.Address1,OriginalPayload.Address1,String (200),From first order line,Yes,Grab Address1
,OriginalPayload.ProcessInfo,Object,Complex object with many fields,No,(complex object)
,OriginalPayload.CancelReasonId,String (50),Default: null,No,null
,OriginalPayload.PostVoIdReasonId,String (50),Default: null,No,null
OrderLocale,OriginalPayload.OrderLocale,String (5),Direct mapping,Yes,th
Calculated,OriginalPayload.OrderTotalCharges,Number,Sum of all charges,Yes,0
Calculated,OriginalPayload.TotalTaxes,Number,Sum of all taxes,Yes,0
CustomerLastName,OriginalPayload.CustomerLastName,String (100),Direct mapping,Yes,-
CapturedDate,OriginalPayload.CapturedDate,DateTime,Direct mapping,Yes,2025-08-05T12:13:12
,OriginalPayload.CarrierCode,String (50),Default: 'InStore',Yes,InStore
,OriginalPayload.AddressType,String (50),Default: 'CustomerShipToAddress',Yes,CustomerShipToAddress
Calculated,OriginalPayload.OrderTotal,Number,Subtotal + Charges + Taxes,Yes,157
Calculated,OriginalPayload.TotalDiscounts,Number,Sum of all discounts,Yes,-0.08
,OriginalHeaders.SelectedLocation,String (50),Default: null,No,null
,OriginalHeaders.User,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalHeaders.Organization,String (10),Default: 'CFR',Yes,CFR
,OriginalHeaders.IsRetransmitMsg,String (5),Default: 'true',No,true
,OriginalHeaders.msg_submission_time,DateTime,System generated,Yes,2025-08-05T12:13:34.871
,OriginalHeaders.SelectedBusinessUnit,String (50),Default: null,No,null
,OriginalHeaders.Label,String (50),Default: null,No,null
,OriginalHeaders.fromInboundServiceId,String (50),Default: 'PayloadMsgProcessor',Yes,PayloadMsgProcessor
,OriginalHeaders.msg_submission_time_utc,DateTime,System generated,Yes,2025-08-05T12:13:34.871Z
,OriginalHeaders.BROKER_ADDRESS,String (200),Default: '',No,""
,OriginalHeaders.BROKER_TYPE,String (50),Default: 'googlepubsub',Yes,googlepubsub
,OriginalHeaders.SPAN_ID,String (50),Generated ID,Yes,339e9caaae8f5f9d
,OriginalHeaders.APP_ID_TRACE,String (200),Application ID,Yes,com-manh-cp-xint-queue-proc-q-xint-657d955bff-pz5xf
,OriginalHeaders.PERSIST_TO_MSG_STORE,String (5),Default: 'true',Yes,true
,OriginalHeaders.ComponentName,String (50),Default: 'xint',Yes,xint
,OriginalHeaders.SelectedOrganization,String (10),Default: 'CFR',Yes,CFR
,OriginalHeaders.AllBusinessUnitsAccessible,String (5),Default: 'false',No,false
,OriginalHeaders.TRANSACTIONAL,String (5),Default: 'false',No,false
,OriginalHeaders.UserLocale,String (5),Default: 'en',Yes,en
,OriginalHeaders.QueueName,String (100),Queue name,Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPQ-CFR
,OriginalHeaders.direction,String (20),Default: 'Outbound',Yes,Outbound
,OriginalHeaders.fromInboundQueueName,String (100),Source queue,Yes,awpf-payload-queue-ord
,OriginalHeaders.app-id,String (200),Application ID,Yes,com-manh-cp-xint-queue-proc-q-xint-657d955bff-pz5xf
,OriginalHeaders.TRACE_ID,String (50),Trace ID,Yes,1615f26c4d1db7a8
,OriginalHeaders.fromInboundMessageType,String (50),Source message type,Yes,awpf-payload
,OriginalHeaders.TenantId,String (50),Tenant ID,Yes,crcpopr11o
,OriginalHeaders.MSG_TYPE,String (100),Message type,Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPMT
,OriginalHeaders.MSG_ID_PK,String (50),Message ID,Yes,3851787561187179410880997417394891
,OriginalHeaders.OUTBOUND_CONDITION_EVALUATION,Boolean,Default: true,Yes,true
,OriginalHeaders.ProvisioningProfile,String (50),Default: null,No,null
,OriginalHeaders.OUTBOUND_MSG_TYPE,String (100),Outbound message type,Yes,OB_XINT_PublishReleaseToStoreMSGType_GCPMT
,OriginalHeaders.MessageCategory,String (50),Default: null,No,null
,OriginalHeaders.Location,String (50),Default: null,No,null
